20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||MOSAICO|987447084.00|1073532214.40|-8.02|192132756.00|200383062.00|-4.12
||MOURA DUBEUX|522192656.25|555307312.50|-5.96|101605763.00|103652390.00|-1.97
|**|MOVIDA|5916393064.38|5970738377.28|-0.91|1151183614.00|1114484335.00|3.29
*|**|MRV|5774631828.55|6480151700.49|-10.89|1123600387.00|1209570258.00|-7.11
||MULTILASER|4677073582.50|6309946640.25|-25.88|910042725.00|1177800172.00|-22.73
*|**|MULTIPLAN|12484955073.06|12151495431.00|2.74|2429263158.00|2268170275.00|7.10
||MUNDIAL|93009750.00|86065022.00|8.07|18097395.00|16064700.00|12.65
||NEOENERGIA|19529997720.32|19954826757.12|-2.13|3800054037.00|3724722208.00|2.02
||NEOGRID|644388291.00|727920106.50|-11.48|125382008.00|135871898.00|-7.72
||NORD BRASIL|5973450450.24|6010590179.76|-0.62|1162285568.00|1121922981.00|3.60
||NORDON MET|79457832.00|66214860.00|20.00|15460527.00|12359514.00|25.09
||NORTCQUIMICA|55520061.11|55520061.11|0.00|10802829.00|10363247.00|4.24
||NU-NUBANK|444194546.28|420659644.32|5.59|86429261.00|78519365.00|10.07
||NUTRIPLANT|32369832.00|32369832.00|0.00|6298368.00|6042079.00|4.24
||OCEANPACT|695859247.92|583881897.68|19.18|135396982.00|108986056.00|24.23
||ODERICH|2114236050.15|2114236050.15|0.00|411377992.00|394638453.00|4.24
||ODONTOPREV|6104577160.08|6630559004.16|-7.93|1187799580.00|1237644940.00|-4.03
||OI|5363751982.94|7167354301.25|-25.16|1043653341.00|1337841920.00|-21.99
||OMEGAENERGIA|6011887771.53|6428223489.78|-6.48|1169764520.00|1199877457.00|-2.51
||ONCOCLINICAS|4963484384.46|5374631294.55|-7.65|965771176.00|1003216354.00|-3.73
||ORIZON|2114204612.30|2002028159.40|5.60|411371875.00|373693986.00|10.08
